ID,Country,Latitude,Longitude,2013,2014,2015,2016,2017,2018,2019,2020
1,France,46.698481,2.549047,"204,410","206,599","203,302","203,042","207,274","211,998","217,877","117,109"
2,Spain,40.09095,-3.464618,"103,231","107,144","109,834","115,561","121,717","124,456","126,170","36,410"
3,United States,39.715956,-96.999668,"179,310","178,311","176,865","175,261","174,292","169,325","165,478","44,792"
4,China,32.523743,106.431983,"129,078","128,499","133,820","141,774","153,260","158,606","162,538","30,402"
5,Italy,44.732552,11.077303,"76,762","77,694","81,068","84,925","89,931","93,229","95,399","38,419"
6,Turkey,39.339547,34.51052,"39,861","41,627","41,114","30,907","37,970","46,113","51,747","15,971"
7,Mexico,23.920061,-102.289691,"78,100","81,042","87,129","94,853","99,349","96,497","97,406","51,128"
8,Germany,51.196755,9.62743,"31,545","32,999","34,970","35,555","37,452","38,881","39,563","12,449"
9,Thailand,15.512883,101.301707,"26,547","24,810","29,923","32,530","35,592","38,178","39,916","6,700"
10,United Kingdom,52.418788,-1.247349,"33,567","35,337","36,792","39,129","41,080","40,283","40,857","11,101"
11,Japan,36.13793,138.441899,"10,364","13,413","19,737","24,039","28,691","31,191","31,881","4,116"
12,Austria,47.522617,14.143702,"24,813","25,291","26,728","28,121","29,460","30,816","31,884","15,091"
13,Greece,39.78331,21.708535,"20,112","24,272","26,114","28,071","30,161","33,072","34,005","7,406"
14,Hong Kong,22.28552,114.15769,"54,299","60,839","59,308","56,655","58,472","65,148","55,913","3,569"
15,Malaysia,2.521947,113.833569,"25,715","27,437","25,721","26,757","25,948","25,832","26,101","4,333"
16,Russia,63.314401,93.884016,"30,792","32,421","33,729","24,571","24,390","24,551","24,419","6,359"
17,Portugal,39.225448,-8.266333,"9,177","10,497","11,723","13,359","15,432","16,186","17,283","4,208"
18,Canada,58.33747,-112.384858,"25,167","25,558","27,555","30,142","31,081","31,274","32,430","5,068"
19,Poland,51.899304,20.388926,"72,310","73,750","77,743","80,476","83,804","85,946","88,515","51,076"
20,Netherlands,52.554205,5.501896,"12,783","13,925","15,007","15,828","17,924","18,780","20,129","7,265"
